name,stars
github/choosealicense.com,1426
gimite/google-drive-ruby,1415
assaf/vanity,1410
deivid-rodriguez/pry-byebug,1403
emberjs/ember-rails,1399
toptal/chewy,1364
ruby-git/ruby-git,1363
hexorx/countries,1360
mongodb/mongo-ruby-driver,1359
streamio/streamio-ffmpeg,1358
ddnexus/pagy,1353
phstc/shoryuken,1343
CocoaPods/Xcodeproj,1334
dblock/fui,1327
citation-style-language/styles,1327
bootstrap-ruby/bootstrap_form,1326
zammad/zammad,1324
vdaubry/github-awards,1322
github/pages-gem,1322
antirez/redis-doc,1316
guipdutra/awesome-geek-podcasts,1294
ffaker/ffaker,1291
vagrant-libvirt/vagrant-libvirt,1289
ClosureTree/closure_tree,1283
gettalong/kramdown,1271
SamSaffron/message_bus,1265
ryanto/acts_as_votable,1263
geminabox/geminabox,1260
skycocker/chromebrew,1250
danmayer/coverband,1249
neo4jrb/neo4j,1231
AndroidStudyGroup/conferences,1215
RubyMoney/money-rails,1214
zendesk/samson,1207
ricardochimal/taps,1206
24pullrequests/24pullrequests,1206
yob/pdf-reader,1201
watir/watir,1197
travis-ci/travis.rb,1192
buo/homebrew-cask-upgrade,1187
jeremyevans/roda,1181
Homebrew/homebrew-cask-fonts,1173
igrigorik/em-http-request,1171
zipmark/rspec_api_documentation,1171
twitter/twurl,1163
stripe/stripe-ruby,1159
sporkmonger/addressable,1131
rweng/pry-rails,1128
kostya/eye,1117
twilio/twilio-ruby,1117
jordansissel/pleaserun,1116
basecamp/marginalia,1114
tweetstream/tweetstream,1113
berkshelf/berkshelf,1081
zquestz/omniauth-google-oauth2,1044
topfunky/gruff,1025
michelson/lazy_high_charts,1024
chef/omnibus,1015
ytti/oxidized,1014
natritmeyer/site_prism,1013
newrelic/rpm,1009
chef-cookbooks/docker,1002
gjtorikian/html-proofer,998
ActsAsParanoid/acts_as_paranoid,998
rspec/rspec-expectations,997
magnusvk/counter_culture,996
thredded/thredded,993
benbalter/word-to-markdown,985
tilo/smarter_csv,981
Lascorbe/CocoaConferences,979
samg/diffy,972
SquareSquash/web,971
james2m/seedbank,969
rubyzip/rubyzip,968
amro/gibbon,958
codetriage/codetriage,951
envygeeks/jekyll-assets,945
cucumber/cucumber-rails,938
swipely/docker-api,935
laserlemon/vestal_versions,933
itamae-kitchen/itamae,924
yamldb/yaml_db,922
ondrejbartas/sidekiq-cron,922
rspec/rspec-mocks,920
education/classroom,920
rspec/rspec-core,919
elixir-editors/vim-elixir,919
mattheworiordan/capybara-screenshot,916
ruby-grape/grape-swagger,904
indirect/haml-rails,903
Shopify/shopify_app,900
DefactoSoftware/Hours,899
TracksApp/tracks,888
uohzxela/clean-code-ruby,882
wvanbergen/chunky_png,878
travis-ci/dpl,877
capistrano/sshkit,876
openstreetmap/openstreetmap-website,871
karafka/karafka,862
harrystech/prelaunchr,859
rails-sqlserver/activerecord-sqlserver-adapter,857
jgorset/facebook-messenger,846
airbrake/airbrake,842
leereilly/swot,841
pivotal-legacy/LicenseFinder,838
moove-it/sidekiq-scheduler,836
webmachine/webmachine-ruby,828
projectcalico/calico,827
slack-ruby/slack-ruby-bot,824
elastic/cookbook-elasticsearch,823
mixonic/ranked-model,821
cucumber/aruba,815
github/platform-samples,807
anycable/anycable,806
kmuto/review,803
igrigorik/http-2,802
Shopify/shipit-engine,793
dryruby/rack-throttle,791
utgarda/sidekiq-status,791
chefspec/chefspec,791
crypto-rb/rbnacl,787
k1LoW/awspec,783
jekyll/jekyll-seo-tag,777
github/explore,776
plataformatec/mail_form,773
elastic/ansible-elasticsearch,770
fastlane/boarding,766
danielpclark/faster_path,764
ManageIQ/manageiq,763
ifmeorg/ifme,759
FortAwesome/font-awesome-sass,754
salsify/goldiloader,754
rgeo/rgeo,751
